date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:26	159024/159024	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226d30-19a5425d588%22	https://webcdn.getjusto.com/assets/module-_ASt7nc-.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/module-_ASt7nc-.js	(from https://www.hanoisushi.cl/pedir)
11:13:26	130137/130137	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fc59-19a5425d970%22	https://webcdn.getjusto.com/assets/index-CB_6DRz4.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-CB_6DRz4.js	(from https://www.hanoisushi.cl/pedir)
11:13:26	522/522	---M--	200	added ('OK')	application/javascript	etag:W/%2220a-19a5425d588%22	https://webcdn.getjusto.com/assets/env-D6s-xqZ4.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/env-D6s-xqZ4.js	(from https://www.hanoisushi.cl/pedir)
11:13:26	988/988	---M--	200	added ('OK')	application/javascript	etag:W/%223dc-19a5425d970%22	https://webcdn.getjusto.com/assets/context-D6yqZfdz.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/context-D6yqZfdz.js	(from https://www.hanoisushi.cl/pedir)
11:13:27	62160/62160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2d0-19a5425d970%22	https://webcdn.getjusto.com/assets/index-CXeFjl5i.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-CXeFjl5i.js	(from https://www.hanoisushi.cl/pedir)
11:13:27	13076/13076	---MCZ	200	added ('OK')	application/javascript	etag:W/%223314-19a5425d588%22	https://webcdn.getjusto.com/assets/index-G4ASVU0t.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-G4ASVU0t.js	(from https://www.hanoisushi.cl/pedir)
11:13:27	39362/39362	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299c2-19a5425d970%22	https://webcdn.getjusto.com/assets/components-C7TJjWXG.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/components-C7TJjWXG.js	(from https://www.hanoisushi.cl/pedir)
11:13:27	7111/7111	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bc7-19a5425d970%22	https://webcdn.getjusto.com/assets/dayjs.min-C_B9Zj0p.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/dayjs.min-C_B9Zj0p.js	(from https://www.hanoisushi.cl/pedir)
11:13:27	4104/4104	---MCZ	200	added ('OK')	application/javascript	etag:W/%221008-19a5425d970%22	https://webcdn.getjusto.com/assets/index-CylivXx-.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-CylivXx-.js	(from https://www.hanoisushi.cl/pedir)
11:13:28	2717/2717	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a9d-19a5425d970%22	https://webcdn.getjusto.com/assets/useTranslation-B_PywvDf.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/useTranslation-B_PywvDf.js	(from https://www.hanoisushi.cl/pedir)
11:13:28	301/301	---M--	200	added ('OK')	application/javascript	etag:W/%2212d-19a5425d588%22	https://webcdn.getjusto.com/assets/hooks-BXGtQO4o.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/hooks-BXGtQO4o.js	(from https://www.hanoisushi.cl/pedir)
11:13:28	358/358	---M--	200	added ('OK')	application/javascript	etag:W/%22166-19a5425d588%22	https://webcdn.getjusto.com/assets/clock-0brtFX_G.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/clock-0brtFX_G.js	(from https://www.hanoisushi.cl/pedir)
11:13:28	1559/1559	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617-19a5425d970%22	https://webcdn.getjusto.com/assets/createLucideIcon-gj9TAl09.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/createLucideIcon-gj9TAl09.js	(from https://www.hanoisushi.cl/pedir)
11:13:29	267/267	---M--	200	added ('OK')	application/javascript	etag:W/%2210b-19a5425d588%22	https://webcdn.getjusto.com/assets/index-D0OXZQwJ.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-D0OXZQwJ.js	(from https://www.hanoisushi.cl/pedir)
11:13:29	2218/2218	---MCZ	200	added ('OK')	application/javascript	etag:W/%228aa-19a5425d970%22	https://webcdn.getjusto.com/assets/useWebsite-B2NA3eOh.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/useWebsite-B2NA3eOh.js	(from https://www.hanoisushi.cl/pedir)
11:13:29	23435/23435	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b8b-19a5425d970%22	https://webcdn.getjusto.com/assets/index-Dg1ijqza.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-Dg1ijqza.js	(from https://www.hanoisushi.cl/pedir)
11:13:29	19987/19987	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e13-19a5425d970%22	https://webcdn.getjusto.com/assets/utils-mMyIM9tf.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/utils-mMyIM9tf.js	(from https://www.hanoisushi.cl/pedir)
11:13:29	41188/41188	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a0e4-19a5425d970%22	https://webcdn.getjusto.com/assets/Context-BxTGfssI.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/Context-BxTGfssI.js	(from https://www.hanoisushi.cl/pedir)
11:13:30	304/304	---M--	200	added ('OK')	application/javascript	etag:W/%22130-19a5425d588%22	https://webcdn.getjusto.com/assets/ClientOnly-C9d8okrb.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/ClientOnly-C9d8okrb.js	(from https://www.hanoisushi.cl/pedir)
11:13:30	47220/47220	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b874-19a5425d970%22	https://webcdn.getjusto.com/assets/orionjs-react-autoform.es-DuIzeafz.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/orionjs-react-autoform.es-DuIzeafz.js	(from https://www.hanoisushi.cl/pedir)
11:13:30	78919/78919	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213447-19a5425d970%22	https://webcdn.getjusto.com/assets/apollo-hooks.es-DZ97-Of4.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/apollo-hooks.es-DZ97-Of4.js	(from https://www.hanoisushi.cl/pedir)
